1stFlrSF,GarageArea,GarageYrBlt,GrLivArea,KitchenQual,OverallQual,TotalBsmtSF,YearBuilt,YearRemodAdd,SalePrice
1828,774,2007.0,1828,3,9,1822,2007,2007,314813
894,308,1962.0,894,2,5,894,1962,1962,109500
964,432,1921.0,964,2,5,876,1921,2006,163500
1689,857,2002.0,1689,3,8,1568,2002,2002,271000
1541,843,2001.0,1541,3,7,1541,2001,2002,205000
1221,400,2004.0,1221,3,7,1221,2004,2005,185000
1324,440,1965.0,1324,2,6,1088,1965,1965,160000
696,484,1999.0,1416,3,7,696,1999,1999,155000
526,297,1973.0,988,2,4,462,1973,1973,91000
869,440,2003.0,1218,2,6,735,1941,1950,131000
760,397,2003.0,1656,3,7,746,2003,2004,165400
1362,460,2005.0,1362,3,6,1362,2005,2006,194700
1051,442,1966.0,1839,2,6,756,1966,1966,155000
1375,451,1954.0,1375,2,6,1367,1954,1954,140000
1122,528,1948.0,1122,3,5,924,1948,2005,147000
1432,588,1978.0,1432,3,5,1360,1978,1978,194000
728,400,2007.0,1456,3,7,728,2007,2007,179540
1217,497,1990.0,1217,3,7,1188,1990,1991,173000
1040,625,1950.0,1040,2,5,0,1950,1950,109500
612,528,2009.0,1224,3,6,612,2009,2009,173733
1022,468,1931.0,1774,2,7,952,1931,1950,129900
961,384,1978.0,1367,2,5,861,1900,1950,119000
803,297,1951.0,1360,3,5,803,1938,1995,125500
848,420,2004.0,848,3,6,848,2004,2004,149300
1482,749,2003.0,2262,3,8,1482,2003,2003,305000
1220,396,1951.0,1220,2,4,836,1951,1951,102000
1414,398,2004.0,1414,3,7,1375,2004,2004,178740
1134,396,1950.0,2058,2,6,735,1917,1950,129500
1088,0,1980.0,1198,2,6,901,1920,1998,79900
1659,499,2000.0,1659,4,8,1501,2000,2000,278000
1012,308,1920.0,1012,2,6,1012,1920,1950,118400
1687,672,1970.0,3082,2,7,824,1920,1970,197000
1032,672,1999.0,1812,3,5,360,1900,1996,140000
1057,650,2001.0,1929,3,7,1057,2001,2001,226000
954,576,1976.0,954,2,5,911,1976,1976,132500
1838,765,2006.0,1838,4,9,1838,2006,2006,315000
1640,924,1993.0,1640,3,6,1296,1954,2006,224000
1148,672,1959.0,1148,2,5,1148,1959,1959,132500
950,280,1981.0,950,2,5,950,1971,1971,119500
1065,471,1993.0,1911,3,8,777,1993,1994,215000
915,440,1950.0,1635,2,6,1065,1923,1950,210000
1316,440,2007.0,1316,3,7,1316,2007,2007,200141
1442,615,1970.0,1442,2,6,1442,1970,1970,185000
1078,500,1971.0,1078,2,5,1078,1971,2008,149900
1120,544,1961.0,1120,1,4,1040,1961,1961,129000
779,527,2002.0,1419,3,8,408,2002,2002,184100
707,240,1947.0,1389,2,7,651,1946,1992,135000
1063,280,1954.0,1063,2,5,1056,1954,1954,128000
1792,874,2003.0,1792,4,9,1792,2003,2004,374000
1216,402,1998.0,1216,2,6,1216,1998,1998,164000
998,576,1989.0,1762,3,7,596,1920,1950,157000
847,434,2004.0,1959,3,7,847,2004,2005,215000
1208,546,1977.0,1208,2,6,1208,1977,1977,165000
874,315,1958.0,1524,2,5,874,1958,1958,144000
796,240,1922.0,1154,3,4,796,1922,2007,125500
1048,420,1950.0,1048,2,5,0,1950,1950,98300
886,273,1938.0,886,2,5,190,1938,1996,91300
943,600,1979.0,943,2,5,943,1979,1979,135960
866,603,2005.0,1768,3,7,866,2005,2005,226700
1422,779,1999.0,2599,3,9,1393,1999,1999,333168
912,275,1958.0,912,2,5,912,1958,1958,114500
882,308,1956.0,882,2,5,0,1956,1956,97000
1337,511,1998.0,1337,3,6,1405,1998,1999,181000
2076,850,2006.0,2076,4,10,2076,2006,2006,465000
1328,752,1995.0,2531,3,8,1318,1995,1995,290000
981,240,1939.0,1768,3,5,731,1937,1950,175000
1625,538,2006.0,1625,3,8,1573,2006,2007,235000
1444,389,1958.0,2144,3,6,1444,1958,2006,277000
1521,880,1988.0,2775,3,10,1237,1893,2000,325000
1140,477,1984.0,1868,2,6,585,1984,2003,178000
1525,541,2000.0,1525,3,7,1525,2000,2000,235000
1571,722,2007.0,1571,3,8,1571,2007,2007,239000
796,0,1980.0,796,2,5,796,1910,1950,85000
1378,432,1985.0,2372,2,5,994,1892,1965,107500
802,402,1991.0,1472,3,7,384,1991,1992,160000
960,364,1965.0,960,2,4,648,1965,2001,145000
734,372,2005.0,1838,2,5,732,2005,2005,192140
1309,484,1974.0,1309,3,6,1040,1974,1999,181000
2069,694,2006.0,2643,4,9,2153,2006,2006,380000
676,200,1941.0,1131,2,5,676,1941,1950,66500
960,400,1952.0,1960,2,5,960,1952,1952,124500
1144,336,1962.0,1144,2,5,1144,1963,1963,124000
1056,576,1980.0,1056,2,6,1056,1980,1980,144000
693,0,1980.0,693,1,4,693,1941,1950,52500
1494,576,1997.0,1494,3,6,1479,1997,1997,217000
1646,482,2004.0,1646,3,8,1594,2004,2005,275000
864,352,1989.0,864,2,5,864,1972,1972,127000
1566,750,2008.0,1566,3,8,1566,2008,2008,262500
735,497,1972.0,1395,2,6,723,1972,1972,162000
848,539,1962.0,1208,2,4,780,1925,1950,103000
939,180,1933.0,1513,2,5,939,1920,2004,137500
959,560,1978.0,1367,2,6,884,1931,1950,127500
955,386,1966.0,955,2,5,955,1966,1966,127000
1077,210,1922.0,1077,2,3,1007,1922,1950,91000
1056,572,1955.0,1056,2,5,1056,1955,1955,145000
756,615,2005.0,1553,3,7,756,2005,2006,186500
1614,865,2005.0,1614,3,7,1614,2005,2006,221500
2042,1390,2009.0,2042,4,8,2042,2008,2009,253293
1073,326,1968.0,1073,2,5,1073,1921,1968,108480
1072,240,1948.0,1285,2,5,672,1948,2001,127000
2117,550,1970.0,2117,2,6,1205,1970,1970,237500
605,0,1980.0,605,2,4,528,1920,2002,86000
1150,300,1959.0,1150,2,5,1150,1959,1959,141000
728,400,2005.0,1456,3,6,728,2005,2005,176000
999,588,1961.0,999,4,7,944,1961,2007,178400
750,564,2005.0,1500,3,6,750,2005,2006,173900
1336,375,1953.0,1336,2,5,1165,1953,1953,157000
864,398,2004.0,1593,2,6,839,2004,2004,193000
1130,836,2008.0,2184,4,9,1104,2008,2008,335000
1560,573,2003.0,1560,3,7,1560,2003,2003,201000
888,312,1942.0,1644,3,5,728,1942,1995,146500
630,286,1970.0,630,3,4,630,1970,2002,86000
1113,504,1987.0,1113,2,6,1143,1976,1976,148000
1071,947,2006.0,2172,3,7,1063,2006,2006,280000
796,384,1950.0,1346,2,4,560,1910,2000,112000
1184,550,2007.0,2610,4,8,1184,2007,2007,303477
1026,936,2005.0,1958,3,7,1026,2005,2005,250000
1468,898,2008.0,1468,3,8,1468,2008,2009,244600
1302,539,1977.0,1734,3,5,0,1977,1977,126000
768,240,1946.0,1200,2,5,768,1946,1995,130500
1112,438,2007.0,1550,3,7,1092,2006,2007,241000
954,440,1997.0,2230,2,4,795,1912,1950,118500
1166,240,1936.0,1639,2,6,1064,1936,1950,115000
864,624,1964.0,864,2,5,864,1958,1958,129900
1621,440,1984.0,1621,3,7,1208,1984,1998,202500
483,264,1972.0,987,3,6,483,1972,2007,118000
1238,628,1989.0,2519,3,7,1210,1989,1990,335000
765,440,1970.0,1365,2,5,765,1970,1970,125000
1149,779,2002.0,2290,3,8,1128,2002,2002,255900
1249,840,2006.0,2596,3,9,1249,2006,2006,342643
907,352,1964.0,907,2,4,907,1957,1957,109008
855,440,1976.0,1456,2,6,855,1976,1976,148500
1190,540,1962.0,1190,2,5,1106,1962,1962,132500
858,684,1979.0,858,2,4,858,1971,1971,110000
2223,516,1973.0,2223,2,7,2223,1973,1973,244000
1005,672,1977.0,1005,1,4,1005,1955,1955,115000
1086,409,1994.0,1895,3,7,712,1994,1996,194500
1040,384,1965.0,1040,2,5,1040,1965,1965,129500
1264,461,1960.0,1264,2,5,1268,1960,1960,167500
874,578,2007.0,1761,3,7,874,2007,2007,227875
1034,888,1976.0,1034,2,6,1012,1976,1976,169900
1363,439,1954.0,1363,2,7,1385,1954,2005,241500
1689,480,1956.0,1689,2,6,1436,1956,1956,127500
2113,839,1995.0,2113,3,8,2109,1995,1995,350000
1573,544,2002.0,1573,3,7,1573,2002,2002,227000
2364,820,2009.0,2364,4,9,2330,2009,2010,611657
1057,645,1998.0,2034,3,7,1057,1997,1998,219500
1291,431,1996.0,1291,3,6,1291,1996,1997,173000
858,0,1980.0,858,2,5,858,1958,2008,116500
698,280,1939.0,1258,2,6,560,1939,1950,105000
438,246,1930.0,438,1,2,290,1920,1950,60000
672,440,1978.0,1400,2,6,672,1978,1978,149500
954,240,1938.0,954,1,5,920,1938,1950,119750
1445,645,1964.0,1445,2,6,1127,1964,1964,158000
1072,525,2005.0,1072,2,6,547,2005,2005,148000
1664,0,1980.0,1664,2,5,0,1965,1965,100000
1445,441,1930.0,2134,3,6,844,1916,1994,214500
1940,380,1934.0,3194,2,8,965,1934,1998,359100
912,0,1980.0,1824,2,6,912,1971,1971,139000
888,422,1996.0,1756,2,6,872,1996,1997,204000
912,576,1992.0,912,3,5,912,1965,2008,147000
1509,600,1988.0,1509,3,6,1461,1988,1989,175000
1160,216,1925.0,1608,3,6,976,1925,1990,137450
1316,397,2005.0,1316,3,6,1316,2005,2006,169990
1015,450,1925.0,1015,2,5,768,1925,1950,88000
756,240,1940.0,1134,2,5,756,1940,1950,126000
1636,865,2006.0,1636,3,8,1623,2006,2006,255000
660,400,2003.0,1320,3,7,660,2003,2003,162000
1160,538,1967.0,2126,2,5,1013,1967,1967,185000
1128,525,1963.0,1128,2,5,1120,1963,1963,155000
1306,756,1968.0,1306,2,5,992,1957,2000,153000
798,0,1980.0,1344,2,4,546,1970,2008,97000
1576,704,1996.0,2554,2,7,718,1890,1998,159500
893,576,1985.0,893,3,5,845,1949,2003,135000
894,668,2007.0,1933,3,6,894,2007,2007,214000
672,264,1973.0,1218,2,6,672,1973,1973,113000
1161,534,1977.0,1969,2,7,808,1977,1977,190000
1220,556,1995.0,2090,3,8,1220,1995,1996,240000
1484,487,1971.0,1484,2,5,1484,1971,1971,175000
1656,506,1973.0,1656,2,5,1656,1973,1973,135000
818,210,1926.0,1224,2,6,818,1926,2004,115000
1022,390,2000.0,2054,3,6,992,2000,2000,244000
854,576,1991.0,854,2,7,832,1929,2001,132000
546,286,1973.0,1092,2,4,546,1973,1973,83500
1268,252,1978.0,1268,3,5,1268,1977,1989,143500
