GarageArea,GrLivArea,KitchenQual,OverallQual,TotalBsmtSF
774,1828,3,9,1822
308,894,2,5,894
432,964,2,5,876
857,1689,3,8,1568
843,1541,3,7,1541
400,1221,3,7,1221
440,1324,2,6,1088
484,1416,3,7,696
297,988,2,4,462
440,1218,2,6,735
397,1656,3,7,746
460,1362,3,6,1362
442,1839,2,6,756
451,1375,2,6,1367
528,1122,3,5,924
588,1432,3,5,1360
400,1456,3,7,728
497,1217,3,7,1188
625,1040,2,5,0
528,1224,3,6,612
468,1774,2,7,952
384,1367,2,5,861
297,1360,3,5,803
420,848,3,6,848
749,2262,3,8,1482
396,1220,2,4,836
398,1414,3,7,1375
396,2058,2,6,735
0,1198,2,6,901
499,1659,4,8,1501
308,1012,2,6,1012
672,3082,2,7,824
672,1812,3,5,360
650,1929,3,7,1057
576,954,2,5,911
765,1838,4,9,1838
924,1640,3,6,1296
672,1148,2,5,1148
280,950,2,5,950
471,1911,3,8,777
440,1635,2,6,1065
440,1316,3,7,1316
615,1442,2,6,1442
500,1078,2,5,1078
544,1120,1,4,1040
527,1419,3,8,408
240,1389,2,7,651
280,1063,2,5,1056
874,1792,4,9,1792
402,1216,2,6,1216
576,1762,3,7,596
434,1959,3,7,847
546,1208,2,6,1208
315,1524,2,5,874
240,1154,3,4,796
420,1048,2,5,0
273,886,2,5,190
600,943,2,5,943
603,1768,3,7,866
779,2599,3,9,1393
275,912,2,5,912
308,882,2,5,0
511,1337,3,6,1405
850,2076,4,10,2076
752,2531,3,8,1318
240,1768,3,5,731
538,1625,3,8,1573
389,2144,3,6,1444
880,2775,3,10,1237
477,1868,2,6,585
541,1525,3,7,1525
722,1571,3,8,1571
0,796,2,5,796
432,2372,2,5,994
402,1472,3,7,384
364,960,2,4,648
372,1838,2,5,732
484,1309,3,6,1040
694,2643,4,9,2153
200,1131,2,5,676
400,1960,2,5,960
336,1144,2,5,1144
576,1056,2,6,1056
0,693,1,4,693
576,1494,3,6,1479
482,1646,3,8,1594
